,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Area,Loan_Status,Gender_self_employment
561,LP002813,Female,Yes,1,Graduate,Yes,19484,0.0,600,360.0,Semiurban,Y,Female_Yes
155,LP001536,Male,Yes,3+,Graduate,No,39999,0.0,600,180.0,Semiurban,Y,Male_No
369,LP002191,Male,Yes,0,Graduate,No,19730,5266.0,570,360.0,Rural,N,Male_No
487,LP002547,Male,Yes,1,Graduate,No,18333,0.0,500,360.0,Urban,N,Male_No
604,LP002959,Female,Yes,1,Graduate,No,12000,0.0,496,360.0,Semiurban,Y,Female_No
177,LP001610,Male,Yes,3+,Graduate,No,5516,11300.0,495,360.0,Semiurban,N,Male_No
523,LP002693,Male,Yes,2,Graduate,Yes,7948,7166.0,480,360.0,Rural,Y,Male_Yes
308,LP001996,Male,No,0,Graduate,No,20233,0.0,480,360.0,Rural,N,Male_No
278,LP001907,Male,Yes,0,Graduate,No,14583,0.0,436,360.0,Semiurban,Y,Male_No
525,LP002699,Male,Yes,2,Graduate,Yes,17500,0.0,400,360.0,Rural,Y,Male_Yes
372,LP002201,Male,Yes,2,Graduate,Yes,9323,7873.0,380,300.0,Rural,Y,Male_Yes
325,LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376,360.0,Rural,N,Male_Yes
409,LP002317,Male,Yes,3+,Graduate,No,81000,0.0,360,360.0,Rural,N,Male_No
9,LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349,360.0,Semiurban,N,Male_No
536,LP002734,Male,Yes,0,Graduate,No,6133,3906.0,324,360.0,Urban,Y,Male_No
34,LP001100,Male,No,3+,Graduate,No,12500,3000.0,320,360.0,Rural,N,Male_No
21,LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315,360.0,Urban,Y,Male_No
67,LP001233,Male,Yes,1,Graduate,No,10750,0.0,312,360.0,Urban,Y,Male_No
514,LP002652,Male,No,0,Graduate,No,5815,3666.0,311,360.0,Rural,N,Male_No
351,LP002140,Male,No,0,Graduate,No,8750,4167.0,308,360.0,Rural,N,Male_No
258,LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304,360.0,Rural,N,Male_No
324,LP002065,Male,Yes,3+,Graduate,No,15000,0.0,300,360.0,Rural,Y,Male_No
381,LP002229,Male,No,0,Graduate,No,5941,4232.0,296,360.0,Semiurban,Y,Male_No
135,LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290,360.0,Semiurban,N,Male_No
54,LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286,360.0,Urban,N,Female_Yes
233,LP001776,Female,No,0,Graduate,No,8333,0.0,280,360.0,Semiurban,Y,Female_No
253,LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279,180.0,Semiurban,Y,Male_No
391,LP002262,Male,Yes,3+,Graduate,No,9504,0.0,275,360.0,Rural,Y,Male_No
161,LP001562,Male,Yes,0,Graduate,No,7933,0.0,275,360.0,Urban,N,Male_No
572,LP002855,Male,Yes,2,Graduate,No,16666,0.0,275,360.0,Urban,Y,Male_No
5,LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267,360.0,Urban,Y,Male_Yes
183,LP001637,Male,Yes,1,Graduate,No,33846,0.0,260,360.0,Semiurban,N,Male_No
557,LP002795,Male,Yes,3+,Graduate,Yes,10139,0.0,260,360.0,Semiurban,Y,Male_Yes
594,LP002938,Male,Yes,0,Graduate,Yes,16120,0.0,260,360.0,Urban,Y,Male_Yes
119,LP001422,Female,No,0,Graduate,No,10408,0.0,259,360.0,Urban,Y,Female_No
65,LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360.0,Semiurban,N,Male_No
564,LP002832,Male,Yes,2,Graduate,No,8799,0.0,258,360.0,Urban,N,Male_No
159,LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255,360.0,Semiurban,Y,Male_No
255,LP001846,Female,No,3+,Graduate,No,3083,0.0,255,360.0,Rural,Y,Female_No
611,LP002983,Male,Yes,1,Graduate,No,8072,240.0,253,360.0,Urban,Y,Male_No
511,LP002640,Male,Yes,1,Graduate,No,6065,2004.0,250,360.0,Semiurban,Y,Male_No
484,LP002543,Male,Yes,2,Graduate,No,8333,0.0,246,360.0,Semiurban,Y,Male_No
152,LP001531,Male,No,0,Graduate,No,9166,0.0,244,360.0,Urban,N,Male_No
505,LP002622,Male,Yes,2,Graduate,No,3510,4416.0,243,360.0,Rural,Y,Male_No
138,LP001492,Male,No,0,Graduate,No,14999,0.0,242,360.0,Semiurban,N,Male_No
212,LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360.0,Urban,Y,Male_Yes
417,LP002342,Male,Yes,2,Graduate,Yes,1600,20000.0,239,360.0,Urban,N,Male_Yes
361,LP002170,Male,Yes,2,Graduate,No,5000,3667.0,236,360.0,Semiurban,Y,Male_No
483,LP002541,Male,Yes,0,Graduate,No,10833,0.0,234,360.0,Semiurban,Y,Male_No
476,LP002529,Male,Yes,2,Graduate,No,6700,1750.0,230,300.0,Semiurban,Y,Male_No
350,LP002139,Male,Yes,0,Graduate,No,9083,0.0,228,360.0,Semiurban,Y,Male_No
148,LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360.0,Rural,N,Female_No
493,LP002582,Female,No,0,Not Graduate,Yes,17263,0.0,225,360.0,Semiurban,Y,Female_Yes
106,LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360.0,Urban,Y,Male_No
412,LP002328,Male,Yes,0,Not Graduate,No,6096,0.0,218,360.0,Rural,N,Male_No
108,LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360.0,Urban,N,Male_No
210,LP001708,Female,No,0,Graduate,No,10000,0.0,214,360.0,Semiurban,N,Female_No
562,LP002820,Male,Yes,0,Graduate,No,5923,2054.0,211,360.0,Rural,Y,Male_No
227,LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360.0,Semiurban,Y,Male_No
88,LP001289,Male,No,0,Graduate,No,8566,0.0,210,360.0,Urban,Y,Male_No
499,LP002602,Male,No,0,Graduate,No,6283,4416.0,209,360.0,Rural,N,Male_No
502,LP002615,Male,Yes,2,Graduate,No,4865,5624.0,208,360.0,Semiurban,Y,Male_No
276,LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207,360.0,Semiurban,Y,Male_No
591,LP002931,Male,Yes,2,Graduate,Yes,6000,0.0,205,240.0,Semiurban,N,Male_Yes
580,LP002892,Male,Yes,2,Graduate,No,6540,0.0,205,360.0,Semiurban,Y,Male_No
250,LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,201,360.0,Semiurban,N,Male_No
359,LP002160,Male,Yes,3+,Graduate,No,5167,3167.0,200,360.0,Semiurban,Y,Male_No
296,LP001953,Male,Yes,1,Graduate,No,6875,0.0,200,360.0,Semiurban,Y,Male_No
169,LP001580,Male,Yes,2,Graduate,No,8000,0.0,200,360.0,Semiurban,Y,Male_No
229,LP001761,Male,No,0,Graduate,Yes,6400,0.0,200,360.0,Rural,Y,Male_Yes
12,LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200,360.0,Urban,Y,Male_No
404,LP002301,Female,No,0,Graduate,Yes,7441,0.0,194,360.0,Rural,N,Female_Yes
124,LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194,360.0,Rural,Y,Male_No
254,LP001844,Male,No,0,Graduate,Yes,16250,0.0,192,360.0,Urban,N,Male_Yes
599,LP002948,Male,Yes,2,Graduate,No,5780,0.0,192,360.0,Urban,Y,Male_No
25,LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191,360.0,Semiurban,Y,Male_Yes
91,LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188,180.0,Semiurban,Y,Male_No
189,LP001647,Male,Yes,0,Graduate,No,9328,0.0,188,180.0,Rural,Y,Male_No
508,LP002626,Male,Yes,0,Graduate,Yes,2479,3013.0,188,360.0,Urban,Y,Male_Yes
573,LP002862,Male,Yes,2,Not Graduate,No,6125,1625.0,187,480.0,Semiurban,N,Male_No
438,LP002403,Male,No,0,Graduate,Yes,10416,0.0,187,360.0,Urban,N,Male_Yes
440,LP002408,Male,No,0,Graduate,No,3660,5064.0,187,360.0,Semiurban,Y,Male_No
157,LP001543,Male,Yes,1,Graduate,No,9538,0.0,187,360.0,Urban,Y,Male_No
173,LP001594,Male,Yes,0,Graduate,No,5708,5625.0,187,360.0,Semiurban,Y,Male_No
349,LP002138,Male,Yes,0,Graduate,No,2625,6250.0,187,360.0,Rural,Y,Male_No
74,LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187,360.0,Semiurban,Y,Male_Yes
196,LP001666,Male,No,0,Graduate,No,8333,3750.0,187,360.0,Rural,Y,Male_No
612,LP002984,Male,Yes,2,Graduate,No,7583,0.0,187,360.0,Urban,Y,Male_No
289,LP001935,Male,No,0,Graduate,No,9508,0.0,187,360.0,Rural,Y,Male_No
144,LP001508,Male,Yes,2,Graduate,No,11757,0.0,187,180.0,Urban,Y,Male_No
596,LP002941,Male,Yes,2,Not Graduate,Yes,6383,1000.0,187,360.0,Rural,N,Male_Yes
570,LP002842,Male,Yes,1,Graduate,No,3417,1750.0,186,360.0,Urban,Y,Male_No
115,LP001401,Male,Yes,1,Graduate,No,14583,0.0,185,180.0,Rural,Y,Male_No
390,LP002255,Male,No,3+,Graduate,No,9167,0.0,185,360.0,Rural,Y,Male_No
140,LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185,360.0,Rural,N,Male_No
518,LP002683,Male,No,0,Graduate,No,4683,1915.0,185,360.0,Semiurban,N,Male_No
38,LP001114,Male,No,0,Graduate,No,4166,7210.0,184,360.0,Urban,Y,Male_No
327,LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,184,360.0,Semiurban,Y,Male_Yes
559,LP002804,Female,Yes,0,Graduate,No,4180,2306.0,182,360.0,Semiurban,Y,Female_No
553,LP002788,Male,Yes,0,Not Graduate,No,2454,2333.0,181,360.0,Urban,N,Male_No
180,LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180,360.0,Urban,N,Male_No
441,LP002409,Male,Yes,0,Graduate,No,7901,1833.0,180,360.0,Rural,Y,Male_No
598,LP002945,Male,Yes,0,Graduate,Yes,9963,0.0,180,360.0,Rural,Y,Male_Yes
58,LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180,360.0,Urban,Y,Male_No
78,LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180,300.0,Semiurban,N,Male_No
414,LP002335,Female,Yes,0,Not Graduate,No,2149,3237.0,178,360.0,Semiurban,N,Female_No
337,LP002112,Male,Yes,2,Graduate,Yes,2500,4600.0,176,360.0,Rural,Y,Male_Yes
76,LP001256,Male,No,0,Graduate,No,3750,4750.0,176,360.0,Urban,N,Male_No
142,LP001504,Male,No,0,Graduate,Yes,6950,0.0,175,180.0,Semiurban,Y,Male_Yes
118,LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175,360.0,Rural,N,Male_No
368,LP002190,Male,Yes,1,Graduate,No,6325,0.0,175,360.0,Semiurban,Y,Male_No
89,LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175,360.0,Semiurban,Y,Male_No
457,LP002467,Male,Yes,0,Graduate,No,3708,2569.0,173,360.0,Urban,N,Male_No
606,LP002961,Male,Yes,1,Graduate,No,3400,2500.0,173,360.0,Semiurban,Y,Male_No
340,LP002115,Male,Yes,3+,Not Graduate,No,2647,1587.0,173,360.0,Rural,N,Male_No
603,LP002958,Male,No,0,Graduate,No,3676,4301.0,172,360.0,Rural,Y,Male_No
585,LP002912,Male,Yes,1,Graduate,No,4283,3000.0,172,84.0,Rural,N,Male_No
294,LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172,360.0,Semiurban,Y,Male_No
70,LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172,360.0,Urban,Y,Male_No
235,LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170,360.0,Rural,Y,Male_No
225,LP001751,Male,Yes,0,Graduate,No,3250,0.0,170,360.0,Rural,N,Male_No
195,LP001665,Male,Yes,1,Graduate,No,3125,2583.0,170,360.0,Semiurban,N,Male_No
8,LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168,360.0,Urban,Y,Male_No
141,LP001498,Male,No,0,Graduate,No,5417,0.0,168,360.0,Urban,Y,Male_No
82,LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167,360.0,Urban,N,Female_No
201,LP001677,Male,No,2,Graduate,No,4923,0.0,166,360.0,Semiurban,Y,Male_No
356,LP002149,Male,Yes,2,Graduate,No,8333,3167.0,165,360.0,Rural,Y,Male_No
62,LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165,180.0,Rural,N,Male_Yes
191,LP001656,Male,No,0,Graduate,No,12000,0.0,164,360.0,Semiurban,N,Male_No
470,LP002515,Male,Yes,1,Graduate,Yes,3450,2079.0,162,360.0,Semiurban,Y,Male_Yes
474,LP002524,Male,No,2,Graduate,No,5532,4648.0,162,360.0,Rural,Y,Male_No
558,LP002798,Male,Yes,0,Graduate,No,3887,2669.0,162,360.0,Semiurban,Y,Male_No
527,LP002706,Male,Yes,1,Not Graduate,No,5285,1430.0,161,360.0,Semiurban,Y,Male_No
459,LP002473,Male,Yes,0,Graduate,No,8334,0.0,160,360.0,Semiurban,N,Male_No
192,LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160,360.0,Urban,N,Male_No
416,LP002341,Female,No,1,Graduate,No,2600,0.0,160,360.0,Urban,N,Female_No
345,LP002129,Male,Yes,0,Graduate,No,2499,2458.0,160,360.0,Semiurban,Y,Male_No
267,LP001882,Male,Yes,3+,Graduate,No,4333,1811.0,160,360.0,Urban,Y,Male_No
488,LP002555,Male,Yes,2,Graduate,Yes,4583,2083.0,160,360.0,Semiurban,Y,Male_Yes
128,LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160,180.0,Urban,N,Male_Yes
163,LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158,360.0,Rural,Y,Male_No
7,LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158,360.0,Semiurban,N,Male_No
552,LP002785,Male,Yes,1,Graduate,No,3333,3250.0,158,360.0,Urban,Y,Male_No
342,LP002119,Male,Yes,1,Not Graduate,No,4554,1229.0,158,360.0,Urban,Y,Male_No
280,LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158,360.0,Urban,N,Male_Yes
607,LP002964,Male,Yes,2,Not Graduate,No,3987,1411.0,157,360.0,Rural,Y,Male_No
539,LP002740,Male,Yes,3+,Graduate,No,6417,0.0,157,180.0,Rural,Y,Male_No
382,LP002231,Female,No,0,Graduate,No,6000,0.0,156,360.0,Urban,Y,Female_No
545,LP002767,Male,Yes,0,Graduate,No,2768,1950.0,155,360.0,Rural,Y,Male_No
262,LP001870,Female,No,1,Graduate,No,3481,0.0,155,36.0,Semiurban,N,Female_No
371,LP002197,Male,Yes,2,Graduate,No,5185,0.0,155,360.0,Semiurban,Y,Male_No
319,LP002050,Male,Yes,1,Graduate,Yes,10000,0.0,155,360.0,Rural,N,Male_Yes
242,LP001806,Male,No,0,Graduate,No,2965,5701.0,155,60.0,Urban,Y,Male_No
480,LP002534,Female,No,0,Not Graduate,No,4350,0.0,154,360.0,Rural,Y,Female_No
116,LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154,360.0,Semiurban,Y,Female_No
462,LP002487,Male,Yes,0,Graduate,No,3015,2188.0,153,360.0,Rural,Y,Male_No
443,LP002422,Male,No,1,Graduate,No,37719,0.0,152,360.0,Semiurban,Y,Male_No
151,LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152,360.0,Rural,Y,Male_Yes
408,LP002315,Male,Yes,1,Graduate,No,8300,0.0,152,300.0,Semiurban,N,Male_No
101,LP001349,Male,No,0,Graduate,No,4843,3806.0,151,360.0,Semiurban,Y,Male_No
298,LP001955,Female,No,0,Graduate,No,5000,2541.0,151,480.0,Rural,N,Female_No
265,LP001875,Male,No,0,Graduate,No,4095,3447.0,151,360.0,Rural,Y,Male_No
515,LP002659,Male,Yes,3+,Graduate,No,3466,3428.0,150,360.0,Rural,Y,Male_No
273,LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150,360.0,Semiurban,Y,Male_No
574,LP002863,Male,Yes,3+,Graduate,No,6406,0.0,150,360.0,Semiurban,N,Male_No
448,LP002443,Male,Yes,2,Graduate,No,3340,1710.0,150,360.0,Rural,N,Male_No
475,LP002527,Male,Yes,2,Graduate,Yes,16525,1014.0,150,360.0,Rural,Y,Male_Yes
266,LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360.0,Semiurban,Y,Male_No
430,LP002377,Female,No,1,Graduate,Yes,8624,0.0,150,360.0,Semiurban,Y,Female_Yes
452,LP002448,Male,Yes,0,Graduate,No,3948,1733.0,149,360.0,Rural,N,Male_No
442,LP002418,Male,No,3+,Not Graduate,No,4707,1993.0,148,360.0,Semiurban,Y,Male_No
512,LP002643,Male,Yes,2,Graduate,No,3283,2035.0,148,360.0,Urban,Y,Male_No
584,LP002911,Male,Yes,1,Graduate,No,2787,1917.0,146,360.0,Rural,N,Male_No
547,LP002772,Male,No,0,Graduate,No,2526,1783.0,145,360.0,Rural,Y,Male_No
49,LP001151,Female,No,0,Graduate,No,4000,2275.0,144,360.0,Semiurban,Y,Female_No
222,LP001744,Male,No,0,Graduate,No,2971,2791.0,144,360.0,Semiurban,Y,Male_No
59,LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144,360.0,Urban,Y,Male_No
37,LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144,360.0,Semiurban,Y,Female_No
47,LP001144,Male,Yes,0,Graduate,No,5821,0.0,144,360.0,Urban,Y,Male_No
433,LP002387,Male,Yes,0,Graduate,No,2425,2340.0,143,360.0,Semiurban,Y,Male_No
593,LP002936,Male,Yes,0,Graduate,No,3859,3300.0,142,180.0,Rural,Y,Male_No
364,LP002180,Male,No,0,Graduate,Yes,6822,0.0,141,360.0,Rural,Y,Male_Yes
4,LP001008,Male,No,0,Graduate,No,6000,0.0,141,360.0,Urban,Y,Male_No
304,LP001978,Male,No,0,Graduate,No,4000,2500.0,140,360.0,Rural,Y,Male_No
540,LP002741,Female,Yes,1,Graduate,No,4608,2845.0,140,180.0,Semiurban,Y,Female_No
465,LP002494,Male,No,0,Graduate,No,6000,0.0,140,360.0,Rural,Y,Male_No
234,LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140,360.0,Semiurban,Y,Male_No
241,LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140,180.0,Urban,N,Male_No
290,LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139,360.0,Rural,Y,Male_No
419,LP002347,Male,Yes,0,Graduate,No,3246,1417.0,138,360.0,Semiurban,Y,Male_No
251,LP001836,Female,No,2,Graduate,No,3427,0.0,138,360.0,Urban,N,Female_No
420,LP002348,Male,Yes,0,Graduate,No,5829,0.0,138,360.0,Rural,Y,Male_No
439,LP002407,Female,Yes,0,Not Graduate,Yes,7142,0.0,138,360.0,Rural,Y,Female_Yes
247,LP001819,Male,Yes,1,Not Graduate,No,6608,0.0,137,180.0,Urban,Y,Male_No
214,LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137,360.0,Urban,Y,Male_No
96,LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137,360.0,Semiurban,Y,Female_No
122,LP001431,Female,No,0,Graduate,No,2137,8980.0,137,360.0,Semiurban,Y,Female_No
69,LP001241,Female,No,0,Graduate,No,4300,0.0,136,360.0,Semiurban,N,Female_No
458,LP002472,Male,No,2,Graduate,No,4354,0.0,136,360.0,Rural,Y,Male_No
85,LP001279,Male,No,0,Graduate,No,2366,2531.0,136,360.0,Semiurban,Y,Male_No
110,LP001385,Male,No,0,Graduate,No,5316,0.0,136,360.0,Urban,Y,Male_No
388,LP002244,Male,Yes,0,Graduate,No,2333,2417.0,136,360.0,Urban,Y,Male_No
271,LP001891,Male,Yes,0,Graduate,No,11146,0.0,136,360.0,Urban,Y,Male_No
203,LP001688,Male,Yes,1,Not Graduate,No,3500,1083.0,135,360.0,Urban,Y,Male_No
306,LP001993,Female,No,0,Graduate,No,3762,1666.0,135,360.0,Rural,Y,Female_No
216,LP001722,Male,Yes,0,Graduate,No,150,1800.0,135,360.0,Rural,N,Male_No
57,LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135,360.0,Rural,N,Male_No
297,LP001954,Female,Yes,1,Graduate,No,4666,0.0,135,360.0,Urban,Y,Female_No
53,LP001179,Male,Yes,2,Graduate,No,4616,0.0,134,360.0,Urban,N,Male_No
43,LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134,360.0,Semiurban,Y,Male_No
261,LP001868,Male,No,0,Graduate,No,2060,2209.0,134,360.0,Semiurban,Y,Male_No
292,LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134,360.0,Urban,Y,Male_No
427,LP002368,Male,Yes,2,Graduate,No,5935,0.0,133,360.0,Semiurban,Y,Male_No
18,LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133,360.0,Rural,N,Male_No
365,LP002181,Male,No,0,Not Graduate,No,6216,0.0,133,360.0,Rural,N,Male_No
613,LP002990,Female,No,0,Graduate,Yes,4583,0.0,133,360.0,Semiurban,N,Female_Yes
100,LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133,180.0,Urban,Y,Male_No
302,LP001974,Female,No,0,Graduate,No,5000,0.0,132,360.0,Rural,Y,Female_No
554,LP002789,Male,Yes,0,Graduate,No,3593,4266.0,132,180.0,Rural,N,Male_No
386,LP002239,Male,No,0,Not Graduate,No,2346,1600.0,132,360.0,Semiurban,Y,Male_No
563,LP002821,Male,No,0,Not Graduate,Yes,5800,0.0,132,360.0,Semiurban,Y,Male_Yes
485,LP002544,Male,Yes,1,Not Graduate,No,1958,2436.0,131,360.0,Rural,Y,Male_No
99,LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131,360.0,Semiurban,Y,Male_No
217,LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131,360.0,Semiurban,Y,Male_No
90,LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131,360.0,Semiurban,Y,Male_No
379,LP002225,Male,Yes,2,Graduate,No,5391,0.0,130,360.0,Urban,Y,Male_No
213,LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0.0,130,360.0,Rural,Y,Male_Yes
445,LP002429,Male,Yes,1,Graduate,Yes,3466,1210.0,130,360.0,Rural,Y,Male_Yes
362,LP002175,Male,Yes,0,Graduate,No,4750,2333.0,130,360.0,Urban,Y,Male_No
326,LP002068,Male,No,0,Graduate,No,4917,0.0,130,360.0,Rural,Y,Male_No
529,LP002716,Male,No,0,Not Graduate,No,6783,0.0,130,360.0,Semiurban,Y,Male_No
376,LP002219,Male,Yes,3+,Graduate,No,8750,4996.0,130,360.0,Rural,Y,Male_No
354,LP002143,Female,Yes,0,Graduate,No,2423,505.0,130,360.0,Semiurban,Y,Female_No
167,LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129,360.0,Rural,Y,Male_No
139,LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129,360.0,Rural,N,Male_No
1,LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128,360.0,Rural,N,Male_No
224,LP001750,Male,Yes,0,Graduate,No,6250,0.0,128,360.0,Semiurban,Y,Male_No
383,LP002234,Male,No,0,Graduate,Yes,7167,0.0,128,360.0,Urban,Y,Male_Yes
