,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Area,Loan_Status,Gender_self_employment
264,LP001872,Male,No,0,Graduate,Yes,5166,0.0,128,360.0,Semiurban,Y,Male_Yes
211,LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,128,360.0,Semiurban,N,Male_No
461,LP002484,Male,Yes,3+,Graduate,No,7740,0.0,128,180.0,Urban,Y,Male_No
482,LP002537,Male,Yes,0,Graduate,No,2083,3150.0,128,360.0,Semiurban,Y,Male_No
543,LP002755,Male,Yes,1,Not Graduate,No,2239,2524.0,128,360.0,Urban,Y,Male_No
602,LP002953,Male,Yes,3+,Graduate,No,5703,0.0,128,360.0,Urban,Y,Male_No
209,LP001702,Male,No,0,Graduate,No,3418,0.0,127,360.0,Semiurban,N,Male_No
291,LP001938,Male,Yes,2,Graduate,No,4400,0.0,127,360.0,Semiurban,N,Male_No
347,LP002131,Male,Yes,2,Not Graduate,No,3083,2168.0,126,360.0,Urban,Y,Male_No
66,LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126,180.0,Urban,N,Male_No
272,LP001892,Male,No,0,Graduate,No,2833,1857.0,126,360.0,Rural,Y,Male_No
68,LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125,60.0,Urban,Y,Male_Yes
389,LP002250,Male,Yes,0,Graduate,No,5488,0.0,125,360.0,Rural,Y,Male_No
149,LP001520,Male,Yes,0,Graduate,No,4860,830.0,125,360.0,Semiurban,Y,Male_No
15,LP001032,Male,No,0,Graduate,No,4950,0.0,125,360.0,Urban,Y,Male_No
534,LP002731,Female,No,0,Not Graduate,Yes,18165,0.0,125,360.0,Urban,Y,Female_Yes
450,LP002446,Male,Yes,2,Not Graduate,No,2309,1255.0,125,360.0,Rural,N,Male_No
321,LP002053,Male,Yes,3+,Graduate,No,4342,189.0,124,360.0,Semiurban,Y,Male_No
504,LP002619,Male,Yes,0,Not Graduate,No,3814,1483.0,124,300.0,Semiurban,Y,Male_No
204,LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124,360.0,Semiurban,Y,Male_No
244,LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360.0,Semiurban,Y,Male_No
248,LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123,480.0,Semiurban,Y,Male_No
567,LP002837,Male,Yes,3+,Graduate,No,3400,2500.0,123,360.0,Rural,N,Male_No
26,LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122,360.0,Semiurban,Y,Male_No
93,LP001322,Male,No,0,Graduate,No,4133,0.0,122,360.0,Semiurban,Y,Male_No
143,LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122,360.0,Semiurban,Y,Male_No
162,LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121,360.0,Semiurban,N,Male_No
425,LP002366,Male,Yes,0,Graduate,No,2666,4300.0,121,360.0,Rural,Y,Male_No
3,LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120,360.0,Urban,Y,Male_No
185,LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360.0,Semiurban,Y,Male_Yes
287,LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120,360.0,Rural,Y,Male_No
48,LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120,360.0,Urban,N,Female_No
316,LP002035,Male,Yes,2,Graduate,No,3717,0.0,120,360.0,Semiurban,Y,Male_No
245,LP001813,Male,No,0,Graduate,Yes,6050,4333.0,120,180.0,Urban,N,Male_Yes
194,LP001664,Male,No,0,Graduate,No,4191,0.0,120,360.0,Rural,Y,Male_No
375,LP002211,Male,Yes,0,Graduate,No,4817,923.0,120,180.0,Urban,Y,Male_No
51,LP001157,Female,No,0,Graduate,No,3086,0.0,120,360.0,Semiurban,Y,Female_No
60,LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120,360.0,Urban,Y,Male_No
240,LP001798,Male,Yes,2,Graduate,No,5819,5000.0,120,360.0,Rural,Y,Male_No
263,LP001871,Female,No,0,Graduate,No,7200,0.0,120,360.0,Rural,Y,Female_No
205,LP001692,Female,No,0,Not Graduate,No,4408,0.0,120,360.0,Semiurban,Y,Female_No
494,LP002585,Male,Yes,0,Graduate,No,3597,2157.0,119,360.0,Rural,N,Male_No
150,LP001528,Male,No,0,Graduate,No,6277,0.0,118,360.0,Rural,N,Male_No
456,LP002459,Male,Yes,0,Graduate,No,4301,0.0,118,360.0,Urban,Y,Male_No
330,LP002097,Male,No,1,Graduate,No,4384,1793.0,117,360.0,Urban,Y,Male_No
64,LP001222,Female,No,0,Graduate,No,4166,0.0,116,360.0,Semiurban,N,Female_No
178,LP001616,Male,Yes,1,Graduate,No,3750,0.0,116,360.0,Semiurban,Y,Male_No
22,LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116,360.0,Semiurban,N,Male_No
221,LP001743,Male,Yes,2,Graduate,No,4009,1717.0,116,360.0,Semiurban,Y,Male_No
175,LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116,360.0,Rural,Y,Male_No
406,LP002308,Male,Yes,0,Not Graduate,No,2167,2400.0,115,360.0,Urban,Y,Male_No
320,LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115,360.0,Semiurban,Y,Male_No
275,LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115,360.0,Semiurban,Y,Male_No
288,LP001931,Female,No,0,Graduate,No,4124,0.0,115,360.0,Semiurban,Y,Female_No
98,LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115,180.0,Semiurban,Y,Male_No
256,LP001849,Male,No,0,Not Graduate,No,6045,0.0,115,360.0,Rural,N,Male_No
405,LP002305,Female,No,0,Graduate,No,4547,0.0,115,360.0,Semiurban,Y,Female_No
33,LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114,360.0,Semiurban,Y,Male_No
13,LP001029,Male,No,0,Graduate,No,1853,2840.0,114,360.0,Rural,N,Male_No
471,LP002517,Male,Yes,1,Not Graduate,No,2653,1500.0,113,180.0,Rural,N,Male_No
500,LP002603,Female,No,0,Graduate,No,645,3683.0,113,480.0,Rural,Y,Female_No
153,LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113,360.0,Rural,N,Male_No
75,LP001255,Male,No,0,Graduate,No,3750,0.0,113,480.0,Urban,N,Male_No
299,LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113,360.0,Urban,N,Male_No
516,LP002670,Female,Yes,2,Graduate,No,2031,1632.0,113,480.0,Semiurban,Y,Female_No
393,LP002265,Male,Yes,2,Not Graduate,No,1993,1625.0,113,180.0,Semiurban,Y,Male_No
394,LP002266,Male,Yes,2,Graduate,No,3100,1400.0,113,360.0,Urban,Y,Male_No
481,LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,113,360.0,Rural,Y,Male_No
281,LP001914,Male,Yes,0,Graduate,No,3927,800.0,112,360.0,Semiurban,Y,Male_No
246,LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360.0,Urban,Y,Male_No
418,LP002345,Male,Yes,0,Graduate,No,1025,2773.0,112,360.0,Rural,Y,Male_No
166,LP001577,Female,Yes,0,Graduate,No,4583,0.0,112,360.0,Rural,N,Female_No
238,LP001790,Female,No,1,Graduate,No,3812,0.0,112,360.0,Rural,Y,Female_No
52,LP001164,Female,No,0,Graduate,No,4230,0.0,112,360.0,Semiurban,N,Female_No
315,LP002031,Male,Yes,1,Not Graduate,No,3399,1640.0,111,180.0,Urban,Y,Male_No
373,LP002205,Male,No,1,Graduate,No,3062,1987.0,111,180.0,Urban,N,Male_No
80,LP001265,Female,No,0,Graduate,No,3846,0.0,111,360.0,Semiurban,Y,Female_No
311,LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111,360.0,Semiurban,Y,Male_No
532,LP002723,Male,No,2,Graduate,No,3588,0.0,110,360.0,Rural,N,Male_No
549,LP002777,Male,Yes,0,Graduate,No,2785,2016.0,110,360.0,Rural,Y,Male_No
595,LP002940,Male,No,0,Not Graduate,No,3833,0.0,110,360.0,Rural,Y,Male_No
27,LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110,360.0,Urban,Y,Male_No
413,LP002332,Male,Yes,0,Not Graduate,No,2253,2033.0,110,360.0,Rural,Y,Male_No
77,LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360.0,Urban,N,Male_Yes
526,LP002705,Male,Yes,0,Graduate,No,3775,0.0,110,360.0,Semiurban,Y,Male_No
469,LP002505,Male,Yes,0,Graduate,No,4333,2451.0,110,360.0,Urban,N,Male_No
39,LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110,360.0,Semiurban,Y,Male_No
577,LP002874,Male,No,0,Graduate,No,3229,2739.0,110,360.0,Urban,Y,Male_No
492,LP002571,Male,No,0,Not Graduate,No,3691,0.0,110,360.0,Rural,Y,Male_No
446,LP002434,Male,Yes,2,Not Graduate,No,4652,0.0,110,360.0,Rural,Y,Male_No
328,LP002086,Female,Yes,0,Graduate,No,4333,2451.0,110,360.0,Urban,N,Female_No
398,LP002284,Male,No,0,Not Graduate,No,3902,1666.0,109,360.0,Rural,Y,Male_No
560,LP002807,Male,Yes,2,Not Graduate,No,3675,242.0,108,360.0,Semiurban,Y,Male_No
243,LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108,360.0,Rural,Y,Male_Yes
608,LP002974,Male,Yes,0,Graduate,No,3232,1950.0,108,360.0,Rural,Y,Male_No
184,LP001639,Female,Yes,0,Graduate,No,3625,0.0,108,360.0,Semiurban,Y,Female_No
575,LP002868,Male,Yes,2,Graduate,No,3159,461.0,108,84.0,Urban,Y,Male_No
578,LP002877,Male,Yes,1,Graduate,No,1782,2232.0,107,360.0,Rural,Y,Male_No
537,LP002738,Male,No,2,Graduate,No,3617,0.0,107,360.0,Semiurban,Y,Male_No
496,LP002587,Male,Yes,0,Not Graduate,No,2600,1700.0,107,360.0,Rural,Y,Male_No
32,LP001097,Male,No,1,Graduate,Yes,4692,0.0,106,360.0,Rural,N,Male_Yes
589,LP002926,Male,Yes,2,Graduate,Yes,2726,0.0,106,360.0,Semiurban,N,Male_Yes
495,LP002586,Female,Yes,1,Graduate,No,3326,913.0,105,84.0,Semiurban,Y,Female_No
353,LP002142,Female,Yes,0,Graduate,Yes,5500,0.0,105,360.0,Rural,N,Female_Yes
431,LP002379,Male,No,0,Graduate,No,6500,0.0,105,360.0,Rural,N,Male_No
586,LP002916,Male,Yes,0,Graduate,No,2297,1522.0,104,360.0,Urban,Y,Male_No
569,LP002841,Male,Yes,0,Graduate,No,3166,2064.0,104,360.0,Urban,N,Male_No
87,LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104,360.0,Semiurban,Y,Male_No
307,LP001994,Female,No,0,Graduate,No,2400,1863.0,104,360.0,Urban,N,Female_No
20,LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104,360.0,Urban,N,Male_No
252,LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104,360.0,Rural,Y,Male_Yes
230,LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104,360.0,Semiurban,Y,Male_No
399,LP002287,Female,No,0,Graduate,No,1500,1800.0,103,360.0,Semiurban,N,Female_No
548,LP002776,Female,No,0,Graduate,No,5000,0.0,103,360.0,Semiurban,N,Female_No
402,LP002297,Male,No,0,Graduate,No,2500,20000.0,103,360.0,Semiurban,Y,Male_No
179,LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102,480.0,Urban,N,Male_No
134,LP001487,Male,No,0,Graduate,No,4895,0.0,102,360.0,Semiurban,Y,Male_No
176,LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101,360.0,Rural,Y,Male_No
358,LP002158,Male,Yes,0,Not Graduate,No,3000,1666.0,100,480.0,Urban,N,Male_No
531,LP002720,Male,Yes,3+,Graduate,No,4281,0.0,100,360.0,Urban,Y,Male_No
510,LP002637,Male,No,0,Not Graduate,No,3598,1287.0,100,360.0,Rural,N,Male_No
384,LP002236,Male,Yes,2,Graduate,No,4566,0.0,100,360.0,Urban,N,Male_No
422,LP002361,Male,Yes,0,Graduate,No,1820,1719.0,100,360.0,Urban,Y,Male_No
434,LP002390,Male,No,0,Graduate,No,3750,0.0,100,360.0,Urban,Y,Male_No
522,LP002692,Male,Yes,3+,Graduate,Yes,5677,1424.0,100,360.0,Rural,Y,Male_Yes
215,LP001720,Male,Yes,3+,Not Graduate,No,3850,983.0,100,360.0,Semiurban,Y,Male_No
105,LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100,360.0,Urban,Y,Male_No
50,LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360.0,Semiurban,Y,Female_No
472,LP002519,Male,Yes,3+,Graduate,No,4691,0.0,100,360.0,Semiurban,Y,Male_No
145,LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100,360.0,Semiurban,Y,Female_No
501,LP002606,Female,No,0,Graduate,No,3159,0.0,100,360.0,Semiurban,Y,Female_No
286,LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99,300.0,Semiurban,N,Female_Yes
61,LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99,360.0,Urban,Y,Male_No
541,LP002743,Female,No,0,Graduate,No,2138,0.0,99,360.0,Semiurban,N,Female_No
160,LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,98,360.0,Semiurban,Y,Male_No
331,LP002098,Male,No,0,Graduate,No,2935,0.0,98,360.0,Semiurban,Y,Male_No
464,LP002493,Male,No,0,Graduate,No,4166,0.0,98,360.0,Semiurban,N,Male_No
55,LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97,360.0,Semiurban,Y,Male_No
71,LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360.0,Semiurban,Y,Male_Yes
455,LP002455,Male,Yes,2,Graduate,No,3859,0.0,96,360.0,Semiurban,Y,Male_No
424,LP002364,Male,Yes,0,Graduate,No,14880,0.0,96,360.0,Semiurban,Y,Male_No
239,LP001792,Male,Yes,1,Graduate,No,3315,0.0,96,360.0,Semiurban,Y,Male_No
366,LP002187,Male,No,0,Graduate,No,2500,0.0,96,480.0,Semiurban,N,Male_No
56,LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96,360.0,Semiurban,Y,Male_No
303,LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96,360.0,Urban,Y,Male_No
498,LP002600,Male,Yes,1,Graduate,Yes,2895,0.0,95,360.0,Semiurban,Y,Male_Yes
519,LP002684,Female,No,0,Not Graduate,No,3400,0.0,95,360.0,Rural,N,Female_No
6,LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95,360.0,Urban,Y,Male_No
352,LP002141,Male,Yes,3+,Graduate,No,2666,2083.0,95,360.0,Rural,Y,Male_No
397,LP002281,Male,Yes,0,Graduate,No,3033,1459.0,95,360.0,Urban,Y,Male_No
528,LP002714,Male,No,1,Not Graduate,No,2679,1302.0,94,360.0,Semiurban,Y,Male_No
257,LP001854,Male,Yes,3+,Graduate,No,5250,0.0,94,360.0,Urban,N,Male_No
109,LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94,480.0,Semiurban,Y,Male_No
300,LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360.0,Urban,N,Male_No
453,LP002449,Male,Yes,0,Graduate,No,2483,2466.0,90,180.0,Rural,Y,Male_No
274,LP001896,Male,Yes,2,Graduate,No,3900,0.0,90,360.0,Semiurban,Y,Male_No
269,LP001884,Female,No,1,Graduate,No,2876,1560.0,90,360.0,Urban,Y,Female_No
200,LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90,360.0,Semiurban,Y,Male_No
581,LP002893,Male,No,0,Graduate,No,1836,33837.0,90,360.0,Urban,N,Male_No
249,LP001825,Male,Yes,0,Graduate,No,1809,1868.0,90,360.0,Urban,Y,Male_No
285,LP001924,Male,No,0,Graduate,No,3158,3053.0,89,360.0,Rural,Y,Male_No
137,LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360.0,Urban,Y,Male_Yes
428,LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360.0,Rural,Y,Male_No
174,LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87,360.0,Semiurban,N,Male_Yes
478,LP002531,Male,Yes,1,Graduate,Yes,16667,2250.0,86,360.0,Semiurban,Y,Male_Yes
136,LP001489,Female,Yes,0,Graduate,No,4583,0.0,84,360.0,Rural,N,Female_No
454,LP002453,Male,No,0,Graduate,Yes,7085,0.0,84,360.0,Semiurban,Y,Male_Yes
310,LP002002,Female,No,0,Graduate,No,2917,0.0,84,360.0,Semiurban,Y,Female_No
199,LP001673,Male,No,0,Graduate,Yes,11000,0.0,83,360.0,Urban,N,Male_Yes
72,LP001248,Male,No,0,Graduate,No,3500,0.0,81,300.0,Semiurban,Y,Male_No
92,LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81,360.0,Urban,Y,Male_No
123,LP001432,Male,Yes,2,Graduate,No,2957,0.0,81,360.0,Semiurban,Y,Male_No
172,LP001586,Male,Yes,3+,Not Graduate,No,3522,0.0,81,180.0,Rural,N,Male_No
360,LP002161,Female,No,1,Graduate,No,4723,0.0,81,360.0,Semiurban,N,Female_No
426,LP002367,Female,No,1,Not Graduate,No,4606,0.0,81,360.0,Rural,N,Female_No
206,LP001693,Female,No,0,Graduate,No,3244,0.0,80,360.0,Urban,Y,Female_No
546,LP002768,Male,No,0,Not Graduate,No,3358,0.0,80,36.0,Semiurban,N,Male_No
277,LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80,360.0,Urban,Y,Male_No
486,LP002545,Male,No,2,Graduate,No,3547,0.0,80,360.0,Rural,N,Male_No
40,LP001119,Male,No,0,Graduate,No,3600,0.0,80,360.0,Urban,N,Male_No
282,LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180.0,Urban,Y,Male_No
17,LP001036,Female,No,0,Graduate,No,3510,0.0,76,360.0,Urban,N,Female_No
193,LP001658,Male,No,0,Graduate,No,3858,0.0,76,360.0,Semiurban,Y,Male_No
489,LP002556,Male,No,0,Graduate,No,2435,0.0,75,360.0,Urban,N,Male_No
164,LP001572,Male,Yes,0,Graduate,No,9323,0.0,75,180.0,Urban,Y,Male_No
131,LP001473,Male,No,0,Graduate,No,2014,1929.0,74,360.0,Urban,Y,Male_No
343,LP002126,Male,Yes,3+,Not Graduate,No,3173,0.0,74,360.0,Semiurban,Y,Male_No
31,LP001095,Male,No,0,Graduate,No,3167,0.0,74,360.0,Urban,N,Male_No
182,LP001636,Male,Yes,0,Graduate,No,4600,0.0,73,180.0,Semiurban,Y,Male_No
609,LP002978,Female,No,0,Graduate,No,2900,0.0,71,360.0,Rural,Y,Female_No
339,LP002114,Female,No,0,Graduate,No,4160,0.0,71,360.0,Semiurban,Y,Female_No
378,LP002224,Male,No,0,Graduate,No,3069,0.0,71,480.0,Urban,N,Male_No
396,LP002277,Female,No,0,Graduate,No,3180,0.0,71,360.0,Urban,N,Female_No
513,LP002648,Male,Yes,0,Graduate,No,2130,6666.0,70,180.0,Semiurban,N,Male_No
146,LP001516,Female,Yes,2,Graduate,No,14866,0.0,70,360.0,Urban,Y,Female_No
132,LP001478,Male,No,0,Graduate,No,2718,0.0,70,360.0,Semiurban,Y,Male_No
587,LP002917,Female,No,0,Not Graduate,No,2165,0.0,70,360.0,Semiurban,Y,Female_No
566,LP002836,Male,No,0,Graduate,No,3333,0.0,70,360.0,Urban,Y,Male_No
10,LP001024,Male,Yes,2,Graduate,No,3200,700.0,70,360.0,Urban,Y,Male_No
466,LP002500,Male,Yes,3+,Not Graduate,No,2947,1664.0,70,180.0,Urban,N,Male_No
329,LP002087,Female,No,0,Graduate,No,2500,0.0,67,360.0,Urban,Y,Female_No
357,LP002151,Male,Yes,1,Graduate,No,3875,0.0,67,360.0,Urban,N,Male_No
538,LP002739,Male,Yes,0,Not Graduate,No,2917,536.0,66,360.0,Rural,N,Male_No
2,LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66,360.0,Urban,Y,Male_Yes
407,LP002314,Female,No,0,Not Graduate,No,2213,0.0,66,360.0,Rural,Y,Female_No
186,LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66,300.0,Rural,N,Male_Yes
401,LP002296,Male,No,0,Not Graduate,No,2755,0.0,65,300.0,Rural,N,Male_No
168,LP001579,Male,No,0,Graduate,No,2237,0.0,63,480.0,Semiurban,N,Male_No
410,LP002318,Female,No,1,Not Graduate,Yes,3867,0.0,62,360.0,Semiurban,N,Female_Yes
429,LP002370,Male,No,0,Not Graduate,No,2717,0.0,60,180.0,Urban,Y,Male_No
415,LP002337,Female,No,0,Graduate,No,2995,0.0,60,360.0,Urban,Y,Female_No
220,LP001736,Male,Yes,0,Graduate,No,2221,0.0,60,360.0,Urban,N,Male_No
208,LP001699,Male,No,0,Graduate,No,2479,0.0,59,360.0,Urban,Y,Male_No
312,LP002006,Female,No,0,Graduate,No,2507,0.0,56,360.0,Rural,Y,Female_No
590,LP002928,Male,Yes,0,Graduate,No,3000,3416.0,56,180.0,Semiurban,Y,Male_No
207,LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55,360.0,Rural,Y,Male_No
370,LP002194,Female,No,0,Graduate,Yes,15759,0.0,55,360.0,Semiurban,Y,Female_Yes
521,LP002690,Male,No,0,Graduate,No,2500,0.0,55,360.0,Semiurban,Y,Male_No
283,LP001917,Female,No,0,Graduate,No,1811,1666.0,54,360.0,Urban,Y,Female_No
403,LP002300,Female,No,0,Not Graduate,No,1963,0.0,53,360.0,Semiurban,Y,Female_No
154,LP001535,Male,No,0,Graduate,No,3254,0.0,50,360.0,Urban,Y,Male_No
436,LP002398,Male,No,0,Graduate,No,1926,1851.0,50,360.0,Semiurban,Y,Male_No
97,LP001333,Male,Yes,0,Graduate,No,1977,997.0,50,360.0,Semiurban,Y,Male_No
84,LP001275,Male,Yes,1,Graduate,No,3988,0.0,50,240.0,Urban,Y,Male_No
190,LP001653,Male,No,0,Not Graduate,No,4885,0.0,48,360.0,Rural,Y,Male_No
41,LP001120,Male,No,0,Graduate,No,1800,1213.0,47,360.0,Urban,Y,Male_No
341,LP002116,Female,No,0,Graduate,No,2378,0.0,46,360.0,Rural,N,Female_No
520,LP002689,Male,Yes,2,Not Graduate,No,2192,1742.0,45,360.0,Semiurban,Y,Male_No
400,LP002288,Male,Yes,2,Not Graduate,No,2889,0.0,45,180.0,Urban,N,Male_No
46,LP001138,Male,Yes,1,Graduate,No,5649,0.0,44,360.0,Urban,Y,Male_No
121,LP001430,Female,No,0,Graduate,No,4166,0.0,44,360.0,Semiurban,Y,Female_No
509,LP002634,Female,No,1,Graduate,No,13262,0.0,40,360.0,Urban,Y,Female_No
610,LP002979,Male,Yes,3+,Graduate,No,4106,0.0,40,180.0,Rural,Y,Male_No
582,LP002894,Female,Yes,0,Graduate,No,3166,0.0,36,360.0,Semiurban,Y,Female_No
28,LP001086,Male,No,0,Not Graduate,No,1442,0.0,35,360.0,Urban,N,Male_No
270,LP001888,Female,No,0,Graduate,No,3237,0.0,30,360.0,Urban,Y,Female_No
147,LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30,360.0,Urban,Y,Male_No
555,LP002792,Male,Yes,1,Graduate,No,5468,1032.0,26,360.0,Semiurban,Y,Male_No
94,LP001325,Male,No,0,Not Graduate,No,3620,0.0,25,120.0,Semiurban,Y,Male_No
133,LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25,120.0,Semiurban,Y,Male_Yes
14,LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17,120.0,Urban,Y,Male_No
568,LP002840,Female,No,0,Graduate,No,2378,0.0,9,360.0,Urban,N,Female_No
